ISO,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
AGO,128.679,172.787,200.062,218.446,228.144,244.75,275.557,324.819,394.374,486.447,603.49,747.486,919.388,1119.581,1347.305,1601.584,1881.075,2184.172
BDI,5.761,8.01,11.189,15.805,22.228,31.322,43.744,60.196,81.673,109.477,144.579,187.89,239.53,299.3,367.433,444.559,530.695,624.595
BEN,15.174,19.318,25.282,33.205,43.426,57.238,75.681,99.895,131.145,170.893,220.483,281.109,353.445,438.376,536.573,648.647,774.866,914.833
BFA,25.287,34.931,48.346,66.267,89.67,121.424,164.2,220.999,295.065,389.477,507.973,654.037,830.084,1038.103,1279.557,1554.487,1863.077,2204.44
BWA,31.094,38.869,46.623,54.411,62.146,70.468,79.284,88.597,98.459,109.026,119.835,130.565,140.889,150.776,160.073,168.651,176.248,182.595
CAF,3.851,5.052,6.696,8.856,11.633,15.355,20.284,26.702,34.927,45.283,58.059,73.573,92.102,113.899,139.193,168.114,200.814,237.333
CIV,41.484,60.178,92.286,137.605,195.787,268.618,357.523,462.108,583.435,721.027,874.793,1043.688,1226.742,1423.444,1633.042,1853.955,2083.174,2318.361
CMR,50.623,65.952,87.462,115.837,151.332,196.115,251.22,318.234,398.882,494.297,605.025,730.477,870.231,1024.75,1193.711,1376.361,1571.036,1775.34
COD,29.611,44.539,73.21,116.725,177.572,263.901,384.52,547.687,762.241,1037.645,1383.768,1810.73,2325.037,2929.01,3620.533,4401.127,5270.344,6224.715
COG,22.683,30.3,40.66,53.2,68.004,85.623,106.258,130.342,158.227,190.062,225.514,264.357,306.32,351.353,399.105,449.147,500.69,552.961
COM,0.837,1.038,1.397,1.92,2.613,3.53,4.719,6.249,8.208,10.654,13.62,17.114,21.167,25.86,31.257,37.346,44.07,51.353
CPV,2.14,2.697,3.329,4.016,4.761,5.597,6.509,7.474,8.486,9.566,10.78,12.144,13.648,15.269,17.021,18.93,21.019,23.294
DJI,2.381,3.171,4.33,5.883,7.851,10.266,13.129,16.44,20.172,24.342,28.969,33.986,39.336,44.986,50.938,57.143,63.57,70.164
DZA,312.438,380.324,463.917,545.477,612.169,671.988,743.584,833.754,940.422,1063.992,1205.104,1354.555,1508.445,1665.407,1826.054,1994.087,2170.795,2351.916
EGY,532.191,713.422,938.518,1212.6,1538.822,1918.477,2340.879,2798.536,3301.109,3849.555,4432.067,5032.365,5644.271,6266.967,6902.366,7546.803,8191.212,8826.978
ERI,3.233,3.562,4.383,5.493,6.937,8.952,11.762,15.686,21.106,28.478,38.241,50.809,66.616,86.286,110.448,139.63,174.032,213.554
ETH,107.936,149.843,203.589,275.659,369.265,497.629,670.221,895.67,1183.638,1543.859,1988.084,2529.575,3178.509,3936.801,4806.603,5789.084,6887.758,8100.545
GAB,24.131,27.787,32.683,38.22,44.307,51.282,59.132,67.734,77.046,86.997,97.629,108.785,120.293,132.164,144.215,156.253,168.137,179.756
GHA,55.799,78.909,108.797,146.224,192.465,250.972,324.134,414.345,525.286,660.201,821.237,1008.735,1221.928,1460.918,1725.397,2013.733,2322.322,2646.944
GIN,13.521,25.584,41.833,63.253,89.87,123.679,165.552,216.266,276.169,345.111,423.995,512.607,610.316,717.338,833.893,959.853,1094.878,1238.177
GMB,4.124,5.387,7.207,9.662,12.751,16.694,21.614,27.68,35.06,43.884,54.287,66.333,80.023,95.427,112.629,131.623,152.326,174.51
GNB,2.016,2.518,3.341,4.581,6.32,8.718,11.943,16.16,21.543,28.246,36.418,46.161,57.51,70.509,85.149,101.48,119.441,138.869
GNQ,25.351,27.974,33.416,39.15,45.328,52.177,59.679,67.726,76.231,85.282,94.671,104.242,113.674,122.936,131.936,140.711,149.14,157.147
KEN,77.364,102.303,135.979,180.06,235.291,306.367,396.726,509.871,650.484,823.176,1031.334,1276.304,1558.276,1879.853,2242.613,2646.28,3088.099,3563.46
LBR,2.972,4.637,7.398,11.24,16.515,23.849,34.017,47.82,66.172,90.184,120.733,158.551,204.138,257.915,319.973,390.382,468.755,554.197
LBY,128.652,160.863,196.201,233.39,271.41,309.459,344.585,377.669,412.9,452.187,495.73,541.341,587.502,633.568,680.746,730.265,781.42,832.58
LSO,3.981,4.914,6.173,7.826,9.888,12.612,16.119,20.499,25.866,32.336,40.044,49.098,59.498,71.239,84.283,98.582,114.078,130.566
MAR,171.353,225.655,294.576,376.643,471.593,580.6,700.08,826.476,958.781,1095.93,1240.48,1389.998,1541.919,1695.305,1849.451,2004.571,2162.478,2322.569
MDG,20.394,26.182,35.564,49.12,67.633,93.376,128.812,176.683,239.783,321.015,423.129,549.154,701.018,880.704,1089.498,1328.221,1596.872,1895.135
MLI,16.742,22.314,30.608,42.271,58.035,79.674,109.002,148.148,199.424,265.112,347.561,448.739,570.324,713.877,880.809,1072.013,1288.074,1528.867
MOZ,27.736,39.953,55.859,75.961,101.022,134.025,177.98,235.934,311.159,407.125,527.298,675.099,854.217,1068.702,1321.481,1614.311,1948.252,2323.681
MRT,10.03,13.105,16.987,21.909,28.099,35.852,45.595,57.619,72.11,89.206,108.837,130.828,155.058,181.521,210.03,240.287,271.813,304.214
MUS,19.071,23.742,28.783,33.76,38.609,43.497,48.479,53.749,59.01,64.343,69.837,75.492,81.515,87.844,94.294,100.814,107.419,114.196
MWI,15.257,20.976,29.445,41.371,57.617,80.413,112.336,156.572,217.041,298.262,405.631,544.911,721.484,940.869,1208.012,1526.908,1899.208,2325.362
NAM,16.272,20.147,25.135,31.085,37.651,44.952,52.985,61.692,70.963,80.703,90.859,101.358,112.082,123.01,133.952,144.785,155.551,166.236
NER,14.406,19.323,26.492,36.765,51.158,72.001,102.233,146.041,208.906,297.737,420.987,587.438,806,1085.78,1436.45,1867.507,2385.783,2994.718
NGA,466.265,642.968,880.184,1192.728,1592.47,2117.563,2805.844,3701.918,4860.505,6331.149,8158.041,10377.841,13013.365,16069.792,19545.217,23435.658,27709.968,32322.577
RWA,15.78,22.017,30.896,42.639,57.661,77.102,101.893,133.066,172.205,221.215,281.119,352.748,436.124,532.159,641.89,766.458,905.738,1058.263
SDN,98.954,143.68,190.677,251.296,328.398,429.305,559.388,723.949,930.143,1186.836,1502.176,1882.007,2330.289,2846.779,3432.818,4088.666,4812.241,5592.931
SEN,26.368,34.502,45.789,60.497,79.196,103.721,135.506,176.219,227.712,291.739,370.085,464.086,574.713,703.426,851.405,1019.207,1206.69,1412.852
SLE,7.215,9.313,12.477,16.928,22.855,30.844,41.441,55.275,73.085,95.652,123.423,156.742,195.874,241.353,293.193,351.408,415.848,486.05
SOM,0.361,0.487,0.697,1.006,1.431,2.056,2.97,4.296,6.171,8.74,12.199,16.751,22.63,30.08,39.31,50.446,63.597,78.844
STP,0.478,0.994,1.439,1.96,2.529,3.153,3.818,4.522,5.261,6.014,6.799,7.62,8.488,9.422,10.437,11.532,12.703,13.959
SWZ,5.488,5.896,6.864,8.18,9.858,11.991,14.609,17.711,21.301,25.414,30.111,35.382,41.18,47.457,54.171,61.273,68.737,76.488
TCD,18.284,21.949,28.606,38.514,52.216,71.418,97.472,132.359,177.992,236.385,309.778,400.613,510.77,641.148,792.675,965.735,1160.98,1378.63
TGO,6.902,9.097,11.996,15.622,20.089,26.029,33.93,44.356,57.974,75.506,97.745,125.559,159.719,200.91,249.688,306.37,371.156,443.929
TUN,102.225,134.909,175.156,221.628,272.404,325.998,379.467,428.537,474.317,518.609,562.683,603.495,639.569,672.434,702.364,730.76,759.238,788
TZA,76.648,106.837,152.234,213.831,293.669,397.54,531.5,702.113,916.467,1180.808,1502.396,1886.39,2334.964,2853.893,3446.968,4116.634,4863.705,5687.947
UGA,51.477,73.156,104.798,148.771,208.062,290.163,402.799,555.22,758.037,1022.489,1361.101,1786.285,2308.679,2938.436,3684.015,4551.075,5541.955,6655.909
ZAF,571.322,709.196,862.831,1024.291,1192.622,1369.723,1551.586,1736.314,1928.612,2132.356,2340.751,2549.391,2757.754,2962.238,3161.039,3353.756,3538.267,3711.378
ZMB,25.223,35.45,49.94,69.835,95.813,130.562,176.522,236.271,312.769,408.877,527.404,671.3,842.312,1041.503,1269.423,1525.158,1807.319,2113.875
ZWE,6.361,7.318,9.151,12.007,16.183,22.199,30.475,41.405,55.391,72.766,94.188,120.041,150.473,185.747,226.16,271.936,323.239,379.719
