Scenario,Country,y2010,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
SSP2,AGO,19081912,22160535.25,25239158.49,28547157.94,31855157.39,35009477.64,38163797.88,41069976.91,43976155.94,46416013.17,48855870.4,50726838.13,52597805.85,53869788.06,55141770.27,55870001.87,56598233.47,56745076.92,56891920.38
SSP2,BDI,8382244.466,9637149.134,10892053.8,11988938.75,13085823.71,14071087.9,15056352.09,15933268.05,16810184.01,17468015.62,18125847.23,18531839.31,18937831.39,19130822.63,19323813.87,19306448.15,19289082.43,19103497.64,18917912.86
SSP2,BEN,8849892,10181856,11513820,12883691.4,14253562.8,15551877.45,16850192.09,18031965.55,19213739.01,20181823.42,21149907.82,21909994.02,22670080.21,23203100.13,23736120.06,24004292.57,24272465.09,24328873.83,24385282.57
SSP2,BFA,16468714,19017658.07,21566602.14,24428748.79,27290895.44,30212757.04,33134618.65,35868234.02,38601849.38,41010810.54,43419771.71,45443702.54,47467633.38,49137447.86,50807262.35,52119327.93,53431393.52,54378004.48,55324615.44
SSP2,BWA,2006945,2124394.107,2241843.215,2334995.631,2428148.046,2508387.653,2588627.26,2662191.288,2735755.317,2803657.632,2871559.947,2912587.752,2953615.557,2955164.183,2956712.81,2923267.172,2889821.534,2826094.637,2762367.741
SSP2,CAF,4401051,4829789.9,5258528.799,5677845.678,6097162.557,6465722.016,6834281.475,7124088.199,7413894.923,7619442.099,7824989.275,7938272.213,8051555.151,8081473.304,8111391.457,8076900.923,8042410.389,7964156.599,7885902.809
SSP2,CIV,19737800,21444974.37,23152148.75,24665803.53,26179458.32,27468223.96,28756989.61,29688155.47,30619321.34,31210093.53,31800865.72,32182055.26,32563244.8,32737427.11,32911609.43,32907708.74,32903808.05,32779314.01,32654819.98
SSP2,CMR,19598889,21626688.93,23654488.85,25484989.54,27315490.23,28968023.24,30620556.25,31888064.68,33155573.12,34063175.67,34970778.23,35520128.72,36069479.21,36326321.83,36583164.45,36526726.71,36470288.98,36197508.39,35924727.8
SSP2,COD,65965795,75868623.42,85771451.84,96560906.46,107350361.1,117388859.1,127427357.1,136573121.9,145718886.7,153323823.1,160928759.5,166734210.7,172539662,176625259.4,180710856.8,183048793,185386729.2,186200626,187014522.9
SSP2,COG,4042899,4560184.712,5077470.425,5578755.509,6080040.593,6556175.977,7032311.362,7427821.946,7823332.531,8138855.422,8454378.313,8678403.035,8902427.756,9036982.43,9171537.103,9206853.591,9242170.078,9197517.445,9152864.812
