Scenario,Country,y2010,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
SSP3,AGO,19081912,22286773.26,25491634.53,29424230.94,33356827.35,37346824.37,41336821.39,45429785.89,49522750.39,53386531.14,57250311.89,60659714.97,64069118.05,67092736.63,70116355.21,72688047.38,75259739.56,77282417.9,79305096.25
SSP3,BDI,8382244.466,9604345.058,10826445.65,11878017.69,12929589.72,13888087.41,14846585.1,15794437.73,16742290.35,17518733.92,18295177.49,18893504.88,19491832.27,19995897.16,20499962.06,20824529.21,21149096.35,21305198.08,21461299.81
SSP3,BEN,8849892,10241150.75,11632409.51,13152524.44,14672639.37,16204394.15,17736148.93,19209724.22,20683299.51,22032659.64,23382019.78,24559601.3,25737182.83,26741869.04,27746555.26,28541955.76,29337356.26,29961516.07,30585675.88
SSP3,BFA,16468714,19356114.05,22243514.09,25914432.29,29585350.49,33798051.09,38010751.69,42532609.95,47054468.22,51579503.97,56104539.73,60414845.43,64725151.14,68759426.58,72793702.03,76475365.01,80157027.99,83443954.95,86730881.92
SSP3,BWA,2006945,2096342.548,2185740.097,2243622.545,2301504.993,2344281.813,2387058.634,2426768.354,2466478.073,2499446.379,2532414.685,2560596.292,2588777.899,2618943.815,2649109.731,2687320.761,2725531.791,2767037.791,2808543.791
SSP3,CAF,4401051,4864841.224,5328631.447,5823569.147,6318506.847,6775178.889,7231850.93,7652873.986,8073897.043,8427054.566,8780212.089,9059629.085,9339046.08,9557187.41,9775328.74,9942822.534,10110316.33,10221883.5,10333450.67
SSP3,CIV,19737800,21951116.29,24164432.57,26751100.32,29337768.06,31902457.72,34467147.38,36979126.72,39491106.07,41773464.54,44055823.02,46094537.92,48133252.81,49987071.25,51840889.69,53511528.12,55182166.54,56676393.42,58170620.29
SSP3,CMR,19598889,21887633.24,24176377.48,26512662.93,28848948.39,31084072.43,33319196.47,35352888.85,37386581.22,39118065.66,40849550.1,42306292.72,43763035.33,44989841.47,46216647.61,47245930.64,48275213.68,49153087.55,50030961.43
SSP3,COD,65965795,77040480.8,88115166.59,100749343.9,113383521.3,126065924.2,138748327.2,151009113.4,163269899.7,174182281.1,185094662.5,194488777.6,203882892.7,211870564.1,219858235.6,226403853.7,232949471.9,238104744.9,243260018
SSP3,COG,4042899,4592193.085,5141487.169,5714361.341,6287235.513,6858687.221,7430138.93,7984062.072,8537985.215,9058941.584,9579897.952,10051349.13,10522800.32,10942812.72,11362825.13,11719084.34,12075343.55,12370174.7,12665005.84
SSP3,COM,734750,838697.4218,942644.8436,1063912.996,1185181.148,1315337.789,1445494.431,1574419.454,1703344.478,1826743.051,1950141.624,2070022.101,2189902.577,2301467.266,2413031.955,2516467.586,2619903.217,2717818.254,2815733.292
