ISO,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
AGO,128.849,171.468,199.156,217.801,223.319,225.297,231.799,247.196,272.098,306.201,349.531,401.771,462.706,531.346,606.858,688.203,776.162,870.001
BDI,5.752,7.89,10.354,13.361,16.706,20.793,25.616,31.144,37.53,45.023,53.76,63.748,74.944,87.09,100.117,114.172,129.224,145.205
BEN,15.257,19.279,24.371,30.3,36.738,44.409,53.559,64.245,76.62,90.772,106.76,124.674,144.454,166.149,189.598,215.038,242.353,271.647
BFA,25.597,35.536,47.599,61.498,76.863,95.245,117.438,143.99,175.427,212.042,254.389,302.952,357.525,417.741,483.243,553.721,629.076,709.11
BWA,30.792,37.733,43.778,48.685,52.584,56.218,59.541,62.604,65.312,68.053,70.886,73.624,76.404,79.299,82.228,85.202,88.258,91.346
CAF,3.869,5.063,6.412,7.832,9.273,10.948,12.906,15.184,17.807,20.81,24.231,28.118,32.479,37.261,42.48,48.126,54.221,60.789
CIV,42.116,61.758,91.348,127.518,167.284,212.184,262.119,315.968,374.076,436.865,505.017,578.033,655.674,736.917,819.887,904.87,991.526,1080.162
CMR,51.038,66.819,85.975,107.899,131.442,158.263,188.24,221.564,258.638,299.635,344.534,393.264,445.008,499.589,556.805,616.837,680.006,745.745
COD,30.027,45.221,71.533,106.192,146.761,196.864,258.639,332.91,420.677,523.064,641.486,777.226,930.554,1100.36,1286.31,1488.856,1708.164,1945.304
COG,22.786,30.27,39.32,49.145,59.442,70.808,83.269,96.924,111.845,128.04,145.31,163.692,182.839,202.64,222.89,243.57,264.625,286.106
COM,0.849,1.054,1.356,1.734,2.17,2.692,3.319,4.083,5.005,6.096,7.367,8.834,10.512,12.412,14.547,16.921,19.539,22.399
CPV,2.164,2.774,3.435,4.082,4.715,5.388,6.088,6.795,7.51,8.259,9.088,10.014,11.025,12.092,13.215,14.418,15.724,17.148
DJI,2.378,3.147,4.21,5.474,6.903,8.508,10.266,12.142,14.099,16.134,18.269,20.488,22.769,25.074,27.378,29.66,31.985,34.333
DZA,314.331,385.55,468.551,542.086,588.097,611.045,632.788,666.814,713.937,773.838,846.636,927.234,1015.341,1109.485,1208.817,1315.767,1432.044,1558.064
EGY,534.801,719.177,926.668,1148.723,1379.836,1626.011,1877.732,2131.884,2407.14,2709.629,3037.049,3383.757,3749.387,4131.223,4528.117,4942.894,5374.712,5821.434
ERI,3.208,3.412,3.988,4.633,5.288,6.094,7.099,8.369,9.968,11.958,14.4,17.336,20.822,24.963,29.816,35.469,41.982,49.44
ETH,108.584,151.126,198.378,252.318,309.879,379.882,464.405,563.447,677.77,809.222,961.152,1136.986,1338.504,1562.875,1809.329,2078.405,2371.462,2692.046
GAB,24.253,27.577,31.249,34.852,38.277,41.969,45.926,50.098,54.365,58.702,63.276,68.08,73.007,78.064,83.088,88.231,93.427,98.765
GHA,56.214,79.745,106.62,135.316,164.25,196.746,233.437,274.819,322.918,379.032,444.119,518.518,602.134,695.226,796.929,907.558,1026.587,1154.199
GIN,13.725,25.427,38.439,52.7,67.256,83.634,102.042,122.572,144.919,168.745,194.19,221.274,249.589,278.88,308.909,339.618,370.927,403.314
GMB,4.162,5.472,7.158,9.141,11.318,13.835,16.712,19.964,23.624,27.694,32.191,37.157,42.564,48.404,54.684,61.417,68.642,76.337
