ISO,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
GNB,2.033,2.54,3.232,4.111,5.147,6.403,7.921,9.704,11.76,14.071,16.659,19.504,22.606,25.917,29.398,33.067,36.869,40.859
GNQ,25.427,27.913,32.544,36.971,41.298,45.755,50.391,55.058,59.603,64.116,68.643,73.033,77.296,81.317,85.127,88.738,92.159,95.435
KEN,78.513,104.759,135.592,170.281,207.502,251.565,303.673,365.337,438.126,524.291,625.223,742.373,876.281,1027.102,1195.06,1381.525,1586.383,1810.855
LBR,2.955,4.462,6.597,9.101,11.935,15.306,19.387,24.275,30.055,36.84,44.655,53.5,63.352,74.143,85.714,98.02,110.975,124.554
LBY,129.036,162.221,198.12,235.554,273.453,307.085,331.173,346.023,357.651,369.745,384.204,400.378,418.362,437.857,458.958,482.55,508.506,536.134
LSO,3.984,4.888,5.927,7.077,8.26,9.677,11.32,13.209,15.332,17.696,20.329,23.277,26.554,30.156,34.054,38.289,42.914,47.951
MAR,173.13,229.157,292.295,357.58,422.199,489.512,557.103,623.929,689.115,753.807,820.887,891.474,965.945,1042.849,1121.25,1201.815,1286.047,1376.512
MDG,20.471,26.477,35.095,46.061,59.119,75.619,96.559,122.666,154.462,192.621,238.058,291.781,354.229,425.663,506.094,595.995,695.881,806.497
MLI,16.946,22.759,30.437,39.771,50.568,63.523,79.068,97.499,119.006,143.619,171.45,202.345,236.354,273.072,312.391,354.132,398.192,444.79
MOZ,27.851,40.039,53.995,68.76,83.573,100.432,120.376,143.52,170.187,200.43,234.101,271.945,313.887,360.117,410.672,465.627,525.49,590.756
MRT,10.053,13.133,16.698,20.629,25.004,30.037,35.95,42.793,50.548,59.195,68.739,79.139,90.481,102.704,115.699,129.439,143.882,159.167
MUS,19.103,23.764,28.27,32.124,35.303,38.137,40.755,43.392,45.788,48.068,50.404,52.874,55.642,58.583,61.58,64.68,67.96,71.53
MWI,15.343,21.205,29.014,38.805,50.395,65.132,84.106,108.361,139.175,177.947,226.344,285.918,358.017,443.674,543.923,660.068,792.674,942.806
NAM,16.302,20.154,24.617,29.318,33.869,38.555,43.406,48.424,53.498,58.58,63.667,68.913,74.178,79.602,85.14,90.752,96.612,102.813
NER,14.517,19.627,26.245,34.607,44.783,57.989,75.254,97.681,126.616,163.571,210.231,268.398,339.321,424.256,524.203,639.739,771.872,920.494
NGA,470.453,651.218,871.104,1131.59,1422.879,1757.603,2144.589,2601.8,3152.722,3815.099,4603.517,5530.633,6619.266,7863.844,9265.877,10809.807,12489.57,14301.753
RWA,15.925,22.27,29.97,38.695,47.983,58.621,70.776,84.64,100.801,119.811,141.854,166.935,194.836,225.513,259.002,295.446,334.669,376.453
SDN,100.316,146.679,190.2,239.335,293.722,358.799,435.379,523.304,623.845,740.613,876.514,1033.527,1212.71,1411.618,1632.114,1876.295,2146.518,2440.325
SEN,26.77,35.615,46.109,57.881,70.399,85.155,102.493,122.71,146.369,173.965,206.155,243.252,285.411,332.78,385.436,443.882,508.461,579.748
SLE,7.236,9.301,11.974,15.142,18.597,22.619,27.304,32.722,38.946,46.004,53.856,62.534,72.007,82.313,93.372,105.177,117.767,131.16
SOM,0.349,0.455,0.614,0.81,1.022,1.291,1.641,2.093,2.665,3.377,4.253,5.323,6.617,8.164,9.986,12.098,14.526,17.29
STP,0.483,1.024,1.475,1.97,2.473,3.011,3.577,4.168,4.779,5.39,6.014,6.661,7.339,8.045,8.769,9.509,10.275,11.078
SWZ,5.508,5.801,6.429,7.193,8.051,9.05,10.18,11.375,12.657,14.088,15.674,17.479,19.52,21.776,24.267,27.027,30.088,33.454
TCD,18.426,22.116,27.99,35.807,45.276,57.139,71.537,88.712,108.844,131.967,158.2,187.546,219.949,254.995,292.513,332.195,373.662,417.46
TGO,6.913,9.103,11.661,14.372,17.106,20.306,24.07,28.424,33.396,39.01,45.335,52.4,60.219,68.747,77.916,87.726,98.259,109.528
TUN,102.629,135.489,173.252,213.338,253.28,293.374,331.508,364.705,394.781,423.633,452.847,481.012,507.856,534.16,560.109,586.496,614.27,644.255
TZA,77.377,108.36,149.256,198.298,254.168,320.639,399.987,494.779,606.078,735.495,884.135,1053.288,1241.36,1448.189,1673.933,1917.707,2180.166,2461.606
UGA,52.162,74.534,103.283,138.329,179.613,231.654,297.424,379.797,481.498,605.367,754.719,931.984,1137.773,1372.887,1636.867,1929.574,2252.648,2604.528
ZAF,568.648,696.646,822.564,933.803,1031.876,1123.217,1207.489,1287.887,1369.24,1455.33,1544.62,1637.506,1731.903,1825.894,1919.841,2013.397,2106.801,2202.225
ZMB,25.671,36.695,50.518,67.24,86.543,110.301,139.179,174.253,216.642,267.183,327.089,396.902,476.374,565.801,664.571,773.331,892.201,1020.71
ZWE,6.431,7.468,9.131,11.391,14.285,18.212,23.352,29.848,37.879,47.593,59.374,73.51,90.146,109.317,131.079,155.561,182.953,213.415
