ISO,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050
Gen,0,0,0,0,0,0,0,0
ASH,6502,6917,6917,6917,6917,6917,6917,6917
BRA,2863,3294,3294,3294,3294,3294,3294,3294
CEN,3304,3594,3594,3594,3594,3594,3594,3594
EAS,2588,3122,3122,3122,3122,3122,3122,3122
ACC,0,0,0,0,0,0,0,0
NOR,0,0,0,0,0,0,0,0
UPE,0,0,0,0,0,0,0,0
UPW,0,0,0,0,0,0,0,0
VOL,567,1056,1056,1056,1056,1056,1056,1056
WES,11219,11352,11352,11352,11352,11352,11352,11352
