ISO,Constant,log_cocoa_climate_suit,log_rough,TransportPerformance,protected_areas,TravelTimeToCities,w_ln_Q
GHA,-18.33875,2.235,0.437,-1.483,-1.717,0.011,-0.266
General,-18.33875,2.235,0.437,-1.483,-1.717,0.011,-0.266
