"ISO","Constant","static_inv_TT_Cities","EcoRegionId","GHS_dPop_00_15","MapSpam_arable","MapSpam_permacrops","relpotaccess_2000","crops_fract","grass_fract","shrubs_fract","reltri","w_shrubs_fract","w_reltri","w_inv_TT_Cities"
"AGO",0.669876398003425,0.807521371789253,-0.0050372259014276,-1.547290438476e-05,0.0455270751523405,0.0384031653616977,0.0688144207458793,-0.0596270548684315,0.110999284827287,-0.0305887239482035,-2.69788681545086,-0.017706415598116,-12.8193122128292,-1.12303506176313
"BDI",-6.13120388306325,0,0,0,-0.00917256394034202,-0.0161803055622604,0,0,0.164408589083993,0,0,0,9.89042903147227,0
"BEN",-3.26861498047221,0,0,0,0.0117119493484924,0.0253262906899111,0.325353948788628,-0.0535840115752988,0.0665917617809944,0,0,0.0446663429081275,-137.581608239391,-1.01513359040482
"BFA",-304.922531133453,0,0.379375963874295,0,-0.0162288504596428,0.0791887122865931,0.044779876058031,-0.0933083938511483,0.125134469969515,-0.0717449093102249,5.32094079632895,0.148922035738086,-12.3918837303761,0.636269437977463
"BWA",2.36606200269248,0,-0.00827624633854359,0,0.0245179281784854,-0.781794745300778,0,-0.0563424646698815,0.0471545385332795,-0.237485155499629,0,-2.05557841744654,11.0004217152017,1.52934181852595
"CAF",-17.1915705334351,0,0.0135999540001103,0.000675416293221152,0.109962762748274,-0.111643673044078,0.0444202692864352,-0.0910552043229836,0.208159210062567,-0.484461853628326,0,-1.55604619914744,-3.29757502810422,-4.10844301563921
"CIV",-7.35875154892013,3.76197950814945,0.00110339959360734,-0.000779242357501732,-0.192833951925317,-0.0523790108490386,-0.103047444243883,0,0.174715185157389,-0.141210148492045,1.22988519545422,0,13.0702241870125,0
"CMR",-3.86531961429221,0,-0.00155501109721811,0,0.032953757888568,-0.0832114856921276,0,-0.0402588901597115,0.146038899084127,-0.0687335573367711,0,-0.261307821875333,-4.61712045585512,0
"COD",-1.69766665498023,1.46551121274557,-0.00290640659500173,-5.15220917206489e-05,0.00750015954445187,-0.0310705103587562,0.202481269303975,-0.0340653465597594,0.123372047030757,-0.0983628929417631,-2.31003968849447,0.0345798965908366,0,-3.68495802663539
"COG",12.8514951179168,1.87470302942386,-0.0224064428439172,0,-0.116446548612387,0.149488261636126,0,-0.0555748972924404,0.104699959097067,-0.0427170494420781,-0.638402096071338,-0.102616299390853,0,-3.26497985024993
"DJI",16.7493067176066,-400.407308829798,-0.0369545163094055,0,0,0,-0.198879202655019,0,0.0405128535917796,-0.181574042966574,0,0,-0.82895167975408,0
"DZA",-2.30305698748885,0,0.00254313217866982,0,-0.0356518358871448,-0.0684714551481165,0.0209096301621888,-0.0402429221835123,0.0820633032676442,-0.0166779760163126,-1.2294522153291,-0.10637528876676,-8.81207791004748,-0.885206752696854
"EGY",-1.79133396502169,0,0.0011739855939306,0,0.00321623226744002,-0.0946250680672592,-0.189147157537852,-0.0526784928255929,0.120636443183336,-0.0646274912874512,0,0.0121525582899357,14.2488024139643,0
"ERI",0.454132122792297,0,-0.00206168525268027,-0.000268913434648605,0,0.0188871040933943,0.100895293481144,-0.0491525028126124,0.0701087091338735,-0.0602746338923343,-0.898703146837087,0,-4.01533162261444,-1.1003841198119
"ESH",4.61808500105003,723.311956979382,0,0,0,0,-1.04884804573092,0,0.422310609632276,0,0,0,0,-1433.23237487719
"ETH",-0.909914176232258,0.614910359228188,-0.00248497980389523,3.98299895897281e-05,0,-0.104288309563931,-0.0473949933640313,-0.0181996860074194,0.106398805759102,-0.0321263779893034,-1.15760663434077,-0.237366511429449,-7.39328964761602,0
"GAB",3.9962984039064,0,-0.0118084762752312,0,0.248775110864636,0.160457713640864,-1.28039425760516,-0.0339382983357176,0.131666361617617,-0.0674728166106987,0,-0.0811278445994116,2.506494085932,0
"GHA",2.98104604454389,-3.25824905562199,-0.0109774570034393,0,0,-0.0889089462892512,0.457354389095595,-0.0433404616595731,0.103825160406205,-0.0259321817695973,0,-0.0386269040846645,-3.55013751954718,0
"GIN",-7.07750440046037,0,-0.000711097516571732,-0.000200620452559774,-0.0295443055236146,0.0584385167458449,0,-0.042068547727915,0.234956318498259,-0.114420904694135,0,-0.0755828972824317,6.09717512246739,3.29601480264918
"GNB",-8.9788579069882,0,0.00379166390362637,0,0,0,-0.825971930403212,-0.151383131373327,0.190081751774082,0,-3.45053354561927,0,-2.6884913841133,9.45020469493271
"GNQ",-9.18145767617438,0,0,0,0,0,0,0,0.150471960465171,-10.858149759273,0,0,0,0
"KEN",1.74969572805552,4.41725420374367,-0.00339756915121092,-0.000205780598348357,-0.0214921417676758,-1.09757035747808,-0.761271339846627,-0.0559672628142934,0.0550564842941634,-0.144881852895032,-3.4713563126073,-0.204328556605209,-14.8152731396048,-8.88278643219689
"LBR",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LBY",-5.31600485365664,0,0.0051152957969555,0.00150784231093739,-0.0490321999025788,0,0.0336723841895662,-0.0580668732068303,0.166805554107391,-0.0834660542036068,1.87053281771938,0.00995557657832553,7.06089746950759,0
"LSO",3.54923647524083,0,0.000992729537809706,0,0,-0.226635797376647,-0.428607743192333,-0.168841241405993,0.0790622734373166,-0.988129512692382,1.49375440876252,-0.996801664197389,-1.79452540326581,-3.64852839885843
"MAR",0.583582447275819,0,0,8.66532464780697e-05,-0.00600055167732555,-0.0118435289179959,-1.3239450470639,-0.0753897567029551,0.0925395123196807,0,0,-0.0511236323201058,-7.46939509609498,2.48833111112404
"MLI",2.43463714188585,-2.87048219951208,-0.00128513482509999,0,0.0744735115381165,-1.04849012385862,-1.46022581031819,-0.0512354504644201,0.0567712211960547,0,-0.872543894755567,0.144342182358036,-33.696043836193,9.79259204928058
"MOZ",-4.25292582312243,0,-0.00212398711740084,0,0.0113281718296187,0,0.0301280399211466,-0.0471432981063091,0.182591383327054,-0.11196855089712,0,-0.00703587759327282,-10.533936800416,-0.633485557691084
"MRT",-6.5794117665542,52.7886870860835,0.0141783929679552,-0.000183936579988848,-0.0933466991076489,-1.05460641994746,-0.154533354394305,-0.120191599909744,-0.0346832660995169,0.151255608110505,-1.02649156730578,-0.0644107080058321,-9.89332093979131,-104.088842882016
"MWI",-2.48661173149064,0,-0.00269680592091598,0,0,-0.075779718393656,0,-0.03497591047929,0.190475534697197,0,-4.51925763641349,0,0,-43.241263156279
"0M",0.706347362758059,18.6059375339987,-0.002376414920374,0.00104401646518989,0.090624003917315,-24.2469344014252,-0.342951731680435,0.0261311804672033,0.0145381689414984,-0.104704416031561,-0.404384115466076,-1.14589902725856,6.6501263273261,-34.4380997399781
"NER",-3.6989737653803,-0.613389053618952,0.00542238000787342,-0.000264669351292884,-0.00415791296325642,-0.126976300179601,-0.453256122750916,-0.0908854168564077,0.032716649403667,0,3.77735143676963,-0.475281905012924,15.4555752909643,6.38913728196856
"NGA",-0.956324937111993,0,-0.000474498431761334,0,0.0159303011142096,-0.061903161794126,-3.72459148061091,-0.0118390676961746,0.148702866731517,-0.0444842090252955,0,-0.214664435045977,-5.30286582068732,3.71384338074906
"RWA",-6.30272109770941,-0.633328018838511,0,0,0,-0.0105448475085718,0.48711103753537,-0.0241530555727636,0.15863085232462,0,-1.5738399094733,-80.3449067691771,9.25958826865696,0
"SLE",-5.29831258635012,0,0,0.000326968111236502,-0.0529171415860052,0,0,-0.0723060279827108,0.149840214638541,-0.0532772569005823,0,0,-26.4427984110265,0
"SOM",-6.98562803724171,0,0.0048469760148947,0,-0.0351681425330236,0.07591160483767,-0.0289806839511564,0,0.128756145207057,-0.0779176825580178,-2.68235788801634,-0.0734104663108959,-16.2074142997517,1.51072479693034
"SWZ",-6.28997044702663,2.44088021414388,0,0,0,0.130753427745674,0,0.0440504420806254,0.217465335826125,0.663903646717495,0,0,6.13163304139573,0
