"ISO","Constant","static_inv_TT_Cities","EcoRegionId","GHS_dPop_00_15","MapSpam_arable","MapSpam_permacrops","relpotaccess_2000","crops_fract","grass_fract","shrubs_fract","reltri","w_shrubs_fract","w_reltri","w_inv_TT_Cities"
"AGO",-5.68610053818151,-0.848375911845097,0.00042484421181396,-3.82312638135527e-05,0.0364758806070696,0.0443441118186297,-0.0574872152085758,0.181336828308854,0.0165746818722858,-0.169918213740984,-2.14025931698755,0.0329034222930527,-3.26673249589619,3.09836908174741
"BDI",-1.60434298253907,0,0,-4.31345801980881e-05,0.0128156539131191,0,1.78339690318407,0.0793400889561644,-0.106600414762386,0,-2.52303142332822,0,-6.36713319071442,-1.50001056507996
"BEN",-15.9200825251259,-1.27182981501961,0.0169715311678291,-0.000795513205659895,0.0230896189484662,0.0414319860893837,0,0.0998019071255223,-0.0788319797719694,-0.0517077995774693,-7.1066822371717,0,1.39023031735126,1.96924277937699
"BFA",-36.0116716604967,0,0.0430585614622012,-0.00012984629381515,0.0374274836119118,0.0391934396658324,0.250933949579297,0.074812411484769,-0.0956246910096148,0,-14.6810563488184,0.401544962835364,-33.8563997616273,-1.90930326424589
"BWA",-9.70907321333571,0,0.00443422144036702,0,0.0247439518980169,1.18341009899878,0.303830545175125,0.187369319797719,0,-0.0915702986902129,-5.11200411808073,0,0,-14.6739961784485
"CAF",-3.08164302861211,0,-0.00316026469643639,0,0.0499167239957718,-0.127735524862834,-0.0381190646214019,0.249155421998775,0.148703171780669,0.163739778389015,0,0,0,0
"CIV",-9.7026051556616,0,0.00738879470298191,-0.000565292119971794,0.121260079868591,-0.05539244198202,0.240651703642983,0.182597553048849,0.0818686047059773,-0.279397128507562,0,0.0116880917274915,-10.8681302819651,1.11836289951623
"CMR",-1.72705579698473,0,-0.00102818785630266,-0.000562613010634953,0.0446252867256358,-0.0290263991747079,0.208555338663274,0.138650355728651,0.0167197118566159,-0.134249243983437,-0.855723755445703,0,-5.96742486258691,0.605595427329972
"COD",-5.05637516285983,-0.615566801713149,-0.000901868106689198,-4.06402229479963e-05,0.0532281977315278,-0.0760764124336137,-0.0114887642560829,0.193130743809065,0.0431773535809706,-0.150431296619036,0,-0.0178547458134033,2.87350636578394,3.17272876820874
"COG",-7.22327504677285,-2.45786454691023,0.00252828360144008,0,0.347829627894348,-0.346278631744366,0.0196573079278708,0.153198174391161,0.0639536448053968,-0.163474713781419,0,0,-11.4947924199157,4.06351578783069
"DJI",-2.97537702899951,0,0.00776306117085637,0,0.942253944589326,0,-9.20875511741702,0,0,0,0,0,-19.0784583793354,0
"DZA",-1.86370555946551,-0.972786087134899,-0.000955680911912378,-0.000560539901461172,0.0390652113719839,0.0201722128454591,0.0204722381683885,0.184500454510798,-0.0229280691437551,-0.166411755015237,-5.12825391117759,0,-7.21282525421818,0
"EGY",0.406165314436538,-0.707729293309295,-0.000979755813506032,-0.00151887700266745,0.0117533331862178,0.0164551761769415,-0.0382042789658257,0.0224777772004376,-0.124367887852203,0.0856025284936634,-68.3806371877685,0,-103.636951917954,1.06168612849004
"ERI",-2.6362469571581,0,0.00228017931040092,-0.000176514611834747,0.00366126738528474,0,0,0.109042015425403,-0.106357669347981,0,-3.68039350744019,0,-8.48046935040977,0
"ESH",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETH",0.112075541603071,-0.231876868630974,-0.00550577499673036,-0.000268394925371189,0.0104971718915521,0,0.715607083983578,0.100293512725862,-0.212350985507938,-0.405793609349554,-3.96401893880487,-0.321085895392405,-5.68013941646192,-1.95883400742612
"GAB",-4.46861985051516,0,-0.000830734666284391,0,0,0.102727896232154,0,0.160289482710411,0.129695207062902,-0.248895378321699,-2.88380896278108,0,-11.9222261988828,0
"GHA",-5.52842007289995,0,0.00464071957539561,-0.000721047666366333,0.0173472465971844,0.00373949709548061,0.599607446350606,0.108500481564208,-0.0907417549101931,-0.0571891992446358,-2.88456424347416,0.0929847831638293,-8.56679050735404,-0.404905205366371
"GIN",-3.91618837515719,-2.78227731327159,0,-0.000394039653923627,0.0674440142457026,-0.0242223580171232,0.311811375055013,0.163555997051859,0.0716341102537124,-0.212166893666948,-0.792608026096191,0.0204250380913747,0,2.28021717232717
"GNB",-3.68279363454749,0,-0.000943150238704573,-0.000557563296797238,0.0719963912844582,-0.0924950094363675,0.0706075847163024,0.20250306677217,0.113337670167443,-0.283872106269889,-5.73273205722658,0,-23.2919189762675,0
"GNQ",-0.215184539224085,-4.9049728800535,-0.0055407385426698,0.000990332270198941,0.0460315466541132,0,0.636300464574468,0.387549044674387,0.345189327832269,-0.701969056968876,-3.16536433990486,0.0142682960326911,-3.61334696571037,0
"KEN",-4.7524202099306,-1.1939841854621,0.00323814304918155,-0.000370439456189772,0.0416001781353618,0.00330178884882969,0.345899569964806,0.0576515935098551,-0.156366904246049,-0.286614011783843,-2.35826737870477,-0.527924618560579,-4.7724521780667,-4.19094383591993
"LBR",-0.373449169268811,-4.36279243364594,-0.00615167145686789,0,0.0180546870708089,0,0.706375652134495,0.428597183416708,0.383434899812314,-0.782453713593076,0,0.0383499528353629,-4.29205585465265,0
"LBY",-0.318476631748345,0,0,-0.00463351857849341,0.0427417126011542,0.0127219249015066,-0.0223645458397062,0.0992083655484185,-0.0387411260654756,-0.0721279865357619,-15.1127469445527,-0.0255875490988324,-38.3825156487101,-1.88553114449943
