ISO,Constant,rpa,rpa2,GHS_Pop_00,w_GHS_Pop_00,inv_TT_Cities,rel_GHS_dBU_90_00_km120
AGO,1.13326820601326,-0.0857433304056968,0.00272475709824535,-2.69795376024092e-05,-7.28993378861232e-05,0.676402360217252,2.10958389195394
BEN,0.505872135274486,-0.0523123738784989,0.00387796709499015,-2.48191926236177e-05,-4.0247471955339e-05,0.249625215810976,1.41277762139096
BFA,0.450687138560643,-0.0607673450652161,0.0029220011859593,-1.1701738578871e-05,-8.1975339740085e-05,0.374649060131171,1.39385742737237
BWA,0.291256124228076,-0.0370556909797848,0.000355662408808072,-1.5737859442825e-05,-2.44067020860052e-05,0.0724154584533364,4.67198115600352
CAF,0.276515558699106,-0.0197808125903544,0.00017819572205067,-5.12952340617413e-06,4.80737228025322e-06,-0.131386427583967,1.03407791947657
CIV,0.283242490382985,-0.0667416254237525,0.00257191595659005,-1.69213591332134e-05,8.14375348819112e-06,0.0294966605937145,1.11390000829869
CMR,0.0425478309563163,0.00996716074127334,0.000215988396394601,-2.50082298850763e-06,1.50854702537596e-05,0.141481977887781,-0.283142195728661
COD,0.472783764470351,-0.0233639995771717,0.000193464268905797,-8.34152713205247e-06,6.19981643566108e-06,0.153383660453218,1.30675807416153
COG,0.320305278924703,-0.0807206604425572,0.000543326027321844,7.91592424800911e-05,0.000129853633931238,0.288996137935083,-1.25865118433209
DJI,-22.0518197561917,3.30882708812769,-0.123005119931132,-6.51574425806044e-06,-8.16052307204907e-06,0,0.303941866886458
DZA,0.246495624885679,-0.0045344882281388,0.00014565596258444,-2.66916338016135e-05,-2.33728984472202e-05,0.256963009149267,0.340786068662599
EGY,0.299898156755119,-0.0164098275179349,0.000384653657926263,-3.51228842248685e-06,2.06625991661448e-06,0.0341683652197486,0.160660186246299
ERI,0.0268932168741383,0.109563775641815,-0.00243488477928272,-4.42125889837678e-06,1.55085756413496e-05,-0.162199005947292,-1.22576000195846
ESH,0.5686899299693,0,0,0,0,0,0
ETH,0.513585253528879,-0.0346781725613303,-0.000854580323826585,-5.40827684124126e-06,1.63107415465376e-06,-0.0387499797812987,0.701262415653055
GAB,0.277112558006447,0.00936895981755047,-0.000104462334021338,-8.50412540888076e-06,-1.8375245696343e-06,-0.0675859732796336,-0.308769386763208
GHA,0.0735497436391417,0.0247570476847392,-0.00101709937302742,-1.22004963680115e-05,1.55607262594787e-05,0.0913833602244927,0.399135904359869
GIN,0.19746623839129,-0.060217494491018,0.00155515147060179,-2.9536212242352e-06,-9.05891409696673e-06,0.282204710682508,1.20672309879682
GNB,0.193764900243785,0.00546580539268039,-0.000166062830248357,-1.03422902880976e-05,2.13090244241515e-06,0.290773429844833,0.0376564273139187
GNQ,0.453292828976896,0.0780996816812759,-0.014661363321685,-2.72325612052436e-05,-1.75976772197668e-05,-0.266681508830864,0.70895128469619
KEN,0.464832861056129,-0.0351546138789114,0.000863500033503382,-1.06614051583848e-05,1.8144180856765e-06,0.137719465288093,0.307259264687653
LBR,0.0907417476658073,0.0761923144839401,-0.0027121067533749,-2.23537646563916e-05,3.99103460833321e-06,0.0948463049235713,0.0427784561709561
LBY,0.170363725472241,-0.000515563111959622,4.76804556590879e-06,-1.80188828551727e-05,1.14423574999552e-06,-0.0175390606221332,-0.0125483290070477
LSO,-0.031731587508433,-0.0373967549397313,0.0020213724646025,-1.45530014698053e-06,-2.51719455094126e-05,0.111305430917211,0.442803627653183
MAR,0.131405763154234,0.00347004849458259,-0.0015692487620062,-8.40352546645637e-06,6.41882493888696e-06,0.0484254662887106,0.353427928904712
MLI,0.797549025607717,-0.0100557429809169,8.91268363347632e-05,-4.9763106148884e-05,-6.9779924298493e-05,0.228861437051327,1.33296343618013
MOZ,0.0502016077408317,0.0227035204283842,-0.000935399546703035,-8.36598969531846e-07,-2.42989446999277e-05,0.354410647512349,0.313074510390162
MRT,0.398008669671153,0.00864806493008006,-0.000280492850064748,-2.19251546632773e-05,-6.01440863609252e-05,0.00595278343514581,3.45316804621011
MWI,0.428979494890692,-0.0666388553166423,-0.00304981518963235,3.82497925828599e-06,-4.64128814064217e-05,0.125564792222885,0.881484270550325
NAM,0.553510215211556,-0.0196831110687921,0.000447890538366578,-3.13266807027827e-05,-3.57009995376446e-05,0.0139138684967539,-0.00498137910530335
NER,0.365276732184583,0.0338260017687384,-0.000923956652519598,-1.3997798411263e-05,1.7076162399452e-06,-0.117398273449351,1.74099221649943
NGA,0.623850670612108,-0.142643092641163,0.00892623555486481,-1.59003646560017e-05,-3.0665599511026e-06,0.0366536289026199,0.753616644269624
RWA,-0.144316667540525,1.26050945076836,-0.278848336708422,-6.84270181057447e-05,-9.03589051397114e-05,0,0.354616676006093
COM,0.50557913617249,0.0427014767311627,-0.000913161519381969,7.83438764356062e-06,-4.81720729732343e-05,0.126356186637663,-0.604113469834876
MDG,0.50557913617249,0.0427014767311627,-0.000913161519381969,7.83438764356062e-06,-4.81720729732343e-05,0.126356186637663,-0.604113469834876
MUS,0.50557913617249,0.0427014767311627,-0.000913161519381969,7.83438764356062e-06,-4.81720729732343e-05,0.126356186637663,-0.604113469834876
GMB,0.554413037812152,-0.00442465261387344,0.000361682944018895,-4.04276864878119e-05,-2.44759679572459e-05,0.374940556075339,0.437854145435732
SEN,0.554413037812152,-0.00442465261387344,0.000361682944018895,-4.04276864878119e-05,-2.44759679572459e-05,0.374940556075339,0.437854145435732
SLE,0.521829295816283,0.121777471158505,-0.0042340916720883,-7.17528703776691e-05,2.14965505866541e-05,-0.188748530622768,0.226253967831374
