ISO,Constant,rpa,inv_TT_Cities,w_GHS_Pop_00
AGO,-5.37469743288132,0.279504859367232,4.66598051348534,0.000513140786260929
BEN,-4.22552193067531,0.633055658303472,0.310522127713343,0.00121073537461484
BFA,-4.86513876989668,0.572017160685089,1.96830098964252,0.000645231787178352
BWA,-6.77618218912081,0.40594334471056,0.990984448232564,0.00152279257100914
CAF,-6.92336258640197,0.178195634067881,2.22811559767073,0.00127016833269009
CIV,-4.60810331481215,0.302962256791602,3.25557678168398,0.00223504816005844
CMR,-5.31362808085454,0.476114982102434,2.19971191724466,0.000144740149635903
COD,-5.45575957552867,0.25110870174187,2.66399268342642,0.000634934043876479
COG,-5.52721322867196,0.23276639382803,-6.01978419943297,0.00177197890903466
DJI,-26.5660685235352,-1.46681947190306e-14,1.13662706226366e-13,-1.05497849928458e-17
DZA,-4.77213189184821,0.223954765015082,2.41366706704433,0.00136320658624249
EGY,-2.76419748111472,0.15499921371702,0.333062199474569,0.00016096793316515
ERI,-6.78020143987217,0.272275933949649,0.415023059365685,0.00030948188903718
ESH,-26.5660685235322,1.54319954098428e-13,-3.6329273918999e-12,-9.05065987848077e-13
ETH,-6.17733769802287,0.619395983928946,2.09159251377029,0.000319990078750131
GAB,-6.90306761674097,0.10979338790044,0.153207535830025,0.00170258966077389
GHA,-4.98999462440075,1.15617007325936,2.1659995369791,0.00114256889207973
GIN,-4.92186075161382,0.52467546763356,3.07096885301885,0.00122579069558373
GNB,-4.33392784094507,0.37417245248561,0.874593800177892,0.00128841611114779
GNQ,-5.93843953093686,0.236786316295624,8.50521720942237,0.00151740527726197
KEN,-2.91037649945221,-0.096645171952037,2.01010350463928,0.000721826755910945
LBR,-5.03242348153546,0.870164007010554,0.302137814049296,0.0042821652027939
LBY,-4.14068473239407,0.11397855563952,5.97412363831249,0.00423025454253331
LSO,-5.28141288797342,0.79343692376603,3.87402066059237,0.000589410845013007
MAR,-4.6086173346959,0.651710384519816,2.56496492110965,0.000867445751605252
MLI,-3.96895727685707,0.0832945645092207,3.7815854717802,0.00118520647621114
MOZ,-5.40866081684444,0.543934469977487,0.964137568273108,0.000215138039788054
MRT,-2.42003907241449,-0.467287903027374,-82.1390351701111,0.000638046769331888
MWI,-3.0233582045169,-0.25777144935671,2.66573921580645,0.00030887983873949
NAM,-3.50145702873998,0.155286519981438,-10.758877832639,-0.00119805903974067
NER,-4.26591638670025,0.137741049360365,-0.375418277355734,0.000571077240183367
NGA,-4.30547644476275,0.947741455583318,1.07236136355049,0.000453906398693349
RWA,-2.59027841458853,0.337241789988899,2.18391284331368,0.000315669071136182
COM,-5.0090405494632,0.0715551588064877,2.68806773076134,0.000830598444418509
MDG,-5.0090405494632,0.0715551588064877,2.68806773076134,0.000830598444418509
MUS,-5.0090405494632,0.0715551588064877,2.68806773076134,0.000830598444418509
GMB,-4.97622487269516,0.803506932123606,1.82035987455316,0.000378507372068097
SEN,-4.97622487269516,0.803506932123606,1.82035987455316,0.000378507372068097
SLE,-3.81680015774725,0.312109910900315,5.50074875320976,0.00271712332721578
SOM,-7.18173896650478,0.19767591337586,3.32504294243775,0.000632284743453214
STP,-6.90306761674097,0.10979338790044,0.153207535830025,0.00170258966077389
TCD,-6.52683878148003,0.184157097863245,3.00159849275916,0.000232037836102103
TGO,-4.64853304292189,0.529523672650933,2.11080142578662,0.00045003219949263
UGA,-4.92146777958118,1.05735594276321,1.13411668934228,0.00056890489464825
ZAF,-4.73417716409479,0.606429891962191,-0.43404249794763,0.0019531391079086
ZMB,-5.78386122076907,0.517802214703237,1.03061068569977,0.000654804705536481
ZWE,-5.59476618819254,0.77187111956797,-0.848143494398781,0.000385419125433154
BDI,-3.68102396813348,0.322215252653747,1.41077725300655,0.000244107026875598
SWZ,-4.48361362486137,0.804503111521832,2.27511414147134,0.00128714787638403
TUN,-4.16833520341769,0.488251827695465,2.18343226850413,0.00079431727628637
TZA,-5.48762251848317,0.658288310448673,2.37215733801057,0.00112515364545187
SDN,-6.03954322403681,0.195430567345048,2.95095686479984,0.000266867671681815
SSD,-6.03954322403681,0.195430567345048,2.95095686479984,0.000266867671681815
