ISO,Constant,rpa,rpa2,GHS_Pop_00,w_GHS_Pop_00,inv_TT_Cities,rel_GHS_dBU_90_00_km120
AGO,0.433658438768216,-0.118401491353743,0.00247531728348405,-7.20930204798963e-05,-6.11378694290386e-06,1.03111267458516,4.43425600140874
BEN,0.828976704143876,-0.200369288472337,0.0199669044736963,-0.000118567240551473,3.83130718971691e-05,0.328794020259766,1.40166567168393
BFA,0.46691620331244,-0.188716511853819,0.0181486268432538,-4.51351062983238e-05,8.34855585634246e-06,0.89400054107907,1.51738846498045
BWA,0.33317203500275,-0.0219401424758011,-0.000157089224673305,-0.000127383931855873,-2.2267407072653e-05,0.114407954402391,6.53425149267675
CAF,0.258338254898012,-0.00378893647707269,-0.000288143599169463,-2.67835056274261e-05,1.46130735823914e-06,-0.0548015411906646,2.3238990588371
CIV,0.408818017016752,-0.122668469758346,0.00487056567387087,-0.000115557177698629,8.93234482703911e-05,0.347720635192927,1.77398817628113
CMR,0.331538613441526,-0.019270870596013,0.00155109178534756,-3.16307376993601e-05,1.25663714311677e-05,0.34479429590902,0.0863707045191527
COD,0.542313993794241,-0.0579999337317669,0.000633907180845381,-3.79083203288522e-05,1.1868012846807e-05,0.538552228609368,3.51661447001603
COG,0.83843816903856,0.0893864288398946,-0.000205753552005683,-5.86458998701733e-05,-0.000212281274195348,0.631565347994467,-8.0980217838544
DJI,0.484467259823053,-0.191639126463442,0.0121036949364171,-2.40941047010307e-06,-2.18737299022887e-05,-1.27893516000063,2.46434779900778
DZA,0.349195719819143,0.0141013246914714,-0.00019771436771009,-0.000122006289904704,5.07532656153046e-07,0.502321266879244,-0.377591825213336
EGY,0.597502331883666,-0.0550140005889945,0.00252597121060303,-5.79923010356494e-05,-7.3134027295846e-06,-0.00701632070255247,0.561004376371037
ERI,0.279218662018155,-0.00554108523993606,0.00103551090361537,-9.14040794080098e-06,1.72551155799116e-05,-0.33179221103133,0.597777050368129
ESH,0.154626189320228,-0.00672968284136776,0.00333044438888641,7.75683410538606e-05,6.74042320441572e-05,0.39288769666629,-1.18834228354014
ETH,0.459558516159471,-0.0428944581994266,-0.00086858893495135,-1.46334825048809e-05,2.76040106703917e-05,0.256364130188246,1.70983280197808
GAB,0.343664303135395,0.000464472522492465,-6.21777040078947e-05,6.11041075967383e-06,-3.23766349934463e-05,-0.203596855538019,1.01762133813708
GHA,0.459796183977024,-0.160428928052882,0.00770949057424862,-8.06320367186541e-05,6.31769679983839e-05,0.338181521280317,1.54499153185789
GIN,0.333190289652772,-0.0825854639714021,0.0045920564315444,-5.39374840997921e-05,2.17282049850428e-05,0.960102204694996,1.19242915708696
GNB,0.23578141882305,0.0488810573690573,-0.00223704971529299,-6.21945387805854e-05,-5.66009971307053e-06,0.368420463077924,0.109069291930211
GNQ,0.343350173541935,0.0172687379138345,-0.00737830769326939,-5.08429775209532e-05,-1.37279872438869e-05,-0.567296848332215,1.43384767988768
KEN,0.749397522620598,-0.216979746981626,0.00895185847250297,-2.97892292239572e-05,1.72096879201813e-05,1.0989460251549,0.139582691808612
LBR,0.258675274946632,0.0396519706908238,-0.00159383275560859,-0.000174530528287581,0.000167213033903915,0.111219760977634,0.571485622559392
LBY,0.345684578669129,-0.00646161148573123,1.90286462570802e-05,-0.000217912490877219,3.97198052403808e-05,0.126616382893568,0.601467059521275
LSO,0.0412167738136173,-0.0228376171810099,0.00246062874606329,-4.81071764803649e-05,5.1611215942558e-05,-0.163378392687282,0.747511929209145
MAR,0.0189221383404277,0.0869169284480023,-0.00455838039865105,-7.54002105152786e-05,3.94238557311026e-05,0.202373713443943,0.281785139905324
MLI,0.5497428325184,-0.0741934859666208,0.00113811251885321,-0.000105750397782041,-5.27141731867412e-06,0.919907039759035,3.43614603791505
MOZ,0.508216503371277,0.0143422057107932,-0.00020639699675851,-2.32658488314634e-05,-3.17364066493585e-05,0.3779270366706,-0.109547955503731
MRT,0.209986993689251,0.0398835180659067,0.000634231323595883,-1.58555760140725e-05,6.9042901111329e-05,-0.958475662599288,-12.8504281809637
MWI,0.499614948354934,-0.13744745618582,0.0161175273220272,-5.08901915173254e-05,1.4636655027513e-05,0.00914371415279655,0.690511425460083
NAM,0.0822124575671582,0.0171818278312506,-0.000719853394656494,-4.70419097532834e-05,0.000140253776360354,0.509474884367862,-0.154414043755982
NER,0.374085768624481,0.00762515642045666,-0.000370910714012758,-2.91074261888544e-05,3.72622146075291e-05,-0.135155854686134,4.98159085120313
NGA,0.541172229446042,-0.118737054011981,0.00433220390519872,-4.44512375356496e-05,2.0055775806883e-05,0.213683481638459,1.66042217215893
RWA,0.927885872089686,-0.840850757384952,0.201149296311037,-8.70018098200195e-05,1.27108389257594e-05,0.273243156517963,1.33373483375159
COM,0.72649901508499,-0.2009539896483,0.00738716989639783,-2.36736470862515e-05,-0.000181390647513497,1.20162384726544,-0.425273245420667
MDG,0.72649901508499,-0.2009539896483,0.00738716989639783,-2.36736470862515e-05,-0.000181390647513497,1.20162384726544,-0.425273245420667
MUS,0.72649901508499,-0.2009539896483,0.00738716989639783,-2.36736470862515e-05,-0.000181390647513497,1.20162384726544,-0.425273245420667
SC1,0.72649901508499,-0.2009539896483,0.00738716989639783,-2.36736470862515e-05,-0.000181390647513497,1.20162384726544,-0.425273245420667
GMB,0.525122869295888,-0.0727193293056133,0.00112776533302334,-4.27400871118205e-05,-1.81521839727941e-05,0.397479537321473,2.77807364902195
SEN,0.525122869295888,-0.0727193293056133,0.00112776533302334,-4.27400871118205e-05,-1.81521839727941e-05,0.397479537321473,2.77807364902195
