ISO,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050
Gen,0,0,0,0,0,0,0,0
ASH,6502,6658,6658,6658,6658,6658,6658,6658
BRA,2863,3052,3052,3052,3052,3052,3052,3052
CEN,3304,3473,3473,3473,3473,3473,3473,3473
EAS,2588,2870,2870,2870,2870,2870,2870,2870
ACC,0,0,0,0,0,0,0,0
NOR,0,0,0,0,0,0,0,0
UPE,0,0,0,0,0,0,0,0
UPW,0,0,0,0,0,0,0,0
VOL,567,812,812,812,812,812,812,812
WES,11219,9790,9790,9790,9790,9790,9790,9790
