ISO,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050
Gen,0,0,0,0,0,0,0,0
ASH,6502,6727,6953,6953,6953,6953,6953,6953
BRA,2863,3099,3335,3335,3335,3335,3335,3335
CEN,3304,3462,3620,3620,3620,3620,3620,3620
EAS,2588,2882,3177,3177,3177,3177,3177,3177
ACC,0,0,0,0,0,0,0,0
NOR,0,0,0,0,0,0,0,0
UPE,0,0,0,0,0,0,0,0
UPW,0,0,0,0,0,0,0,0
VOL,567,854,1141,1141,1141,1141,1141,1141
WES,11219,11291,11363,11363,11363,11363,11363,11363
