Scenario,Country,y2010,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
SSP4,AGO,19081912,22334801.89,25587691.78,29607012.78,33626333.77,37689172.74,41752011.71,45901517.32,50051022.92,53946259.42,57841495.91,61243321.34,64645146.77,67615775.39,70586404.01,73051662.7,75516921.38,77369314.94,79221708.51
SSP4,BDI,8382244.466,9698475.683,11014706.9,12260093.78,13505480.67,14656577.4,15807674.13,16953456.41,18099238.69,19088853.3,20078467.92,20848096.48,21617725.04,22247638.53,22877552.02,23275193.29,23672834.55,23827438.4,23982042.25
SSP4,BEN,8849892,10264186.8,11678481.6,13249655.56,14820829.51,16399106.46,17977383.41,19495953.43,21014523.45,22407347.72,23800171.99,25009049.48,26217926.98,27240685.2,28263443.41,29060539.4,29857635.39,30460008.23,31062381.06
SSP4,BFA,16468714,19315464.1,22162214.21,25708192.3,29254170.39,33284240.15,37314309.91,41600731.93,45887153.94,50122674.16,54358194.39,58392011.37,62425828.35,66240753.25,70055678.16,73580176.54,77104674.91,80298810.22,83492945.54
SSP4,BWA,2006945,2094148.835,2181352.67,2222467.478,2263582.286,2272676.324,2281770.363,2267731.272,2253692.182,2227428.623,2201165.065,2154820.51,2108475.955,2039890.268,1971304.58,1888323.46,1805342.34,1712408.943,1619475.546
SSP4,CAF,4401051,4866329.714,5331608.428,5829038.34,6326468.252,6784387.707,7242307.162,7663695.276,8085083.39,8438033.235,8790983.079,9069233.646,9347484.213,9563459.573,9779434.932,9943539.348,10107643.76,10214132.24,10320620.72
SSP4,CIV,19737800,21846407.02,23955014.03,26270089.04,28585164.05,30811915.41,33038666.76,35166590.91,37294515.05,39155268.93,41016022.81,42689258.93,44362495.05,45945057.21,47527619.37,49005055.32,50482491.26,51854506.34,53226521.43
SSP4,CMR,19598889,21895821.13,24192753.27,26539077.44,28885401.61,31112037.52,33338673.44,35356210.09,37373746.73,39078012.4,40782278.08,42202390.08,43622502.07,44807393.84,45992285.6,46968134.45,47943983.3,48752127.65,49560272
SSP4,COD,65965795,77010654.03,88055513.07,100584089,113112664.8,125564032.2,138015399.7,149930217.4,161845035,172314144.8,182783254.6,191662313.1,200541371.6,207953261.6,215365151.6,221256614.8,227148077.9,231561954.7,235975831.4
SSP4,COG,4042899,4610493.596,5178088.191,5790975.437,6403862.682,7011697.855,7619533.028,8207825.547,8796118.067,9349149.994,9902181.922,10394292.95,10886403.97,11313142.92,11739881.87,12086762.92,12433643.97,12698723.53,12963803.09
