ISO,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
AGO,129.041,172.16,201.272,225.039,240.4,257.078,284.463,329.09,394.028,481.667,594.862,736.232,907.959,1110.017,1342.222,1602.826,1893.984,2214.45
BDI,5.791,8.006,10.527,13.436,16.339,19.655,23.329,27.285,31.593,36.369,41.583,47.182,53.086,59.104,65.183,71.408,77.785,84.342
BEN,15.278,19.321,24.285,29.873,35.352,41.444,48.246,55.653,63.653,72.182,81.156,90.56,100.292,110.351,120.628,131.301,142.361,153.974
BFA,25.566,35.362,46.849,59.462,72.169,86.54,103.056,121.9,143.212,166.938,193.333,222.551,254.272,288.156,324.016,361.787,401.637,443.733
BWA,30.748,37.819,44.648,51.436,57.773,64.002,69.924,75.501,80.777,85.854,90.516,94.591,97.964,100.81,103.048,104.695,105.757,106.128
CAF,3.87,5.056,6.331,7.579,8.653,9.788,11.004,12.312,13.704,15.185,16.758,18.437,20.211,22.039,23.933,25.897,27.957,30.146
CIV,41.991,61.047,88.308,120.078,152.268,186.981,224.308,263.415,304.474,347.458,392.783,440.262,489.683,540.314,591.542,643.769,697.176,752.447
CMR,51.048,66.697,84.735,104.808,124.708,146.464,169.937,195.309,222.784,252.282,283.503,316.389,350.227,384.882,420.429,457.097,495.332,535.02
COD,30.02,45.037,69.929,101.024,133.605,170.664,213.108,260.575,312.775,369.483,430.652,496.41,566.292,639.273,715.337,794.91,878.563,967.542
COG,22.842,30.407,39.248,48.806,58.362,68.695,79.862,91.994,105.147,119.304,134.18,149.82,165.893,182.289,198.837,215.529,232.372,249.492
COM,0.847,1.045,1.324,1.661,2.012,2.403,2.844,3.353,3.937,4.593,5.322,6.128,7.013,7.983,9.041,10.19,11.436,12.784
CPV,2.13,2.666,3.256,3.915,4.62,5.372,6.134,6.874,7.586,8.279,8.985,9.695,10.39,11.056,11.695,12.331,12.978,13.624
