ISO,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
DJI,2.379,3.143,4.173,5.412,6.787,8.338,10.053,11.912,13.887,15.985,18.228,20.605,23.096,25.663,28.278,30.925,33.673,36.505
DZA,311.22,376.567,457.349,537.446,601.638,649.352,700.43,767.036,848.826,944.583,1051.238,1157.802,1260.79,1360.573,1457.323,1554.487,1652.706,1747.395
EGY,529.171,702.058,906.922,1156.221,1442.596,1760.868,2095.821,2437.859,2801.956,3187.843,3576.554,3948,4296.226,4624.998,4936.891,5234.602,5512.891,5760.123
ERI,3.215,3.419,3.958,4.527,4.994,5.504,6.082,6.753,7.53,8.413,9.393,10.458,11.604,12.852,14.203,15.671,17.266,19.018
ETH,108.554,150.476,194.923,242.8,287.787,338.809,396.54,459.627,527.548,600.687,680.36,767.969,863.58,964.589,1070.57,1182.022,1300.357,1428.333
GAB,24.263,27.399,30.778,34.542,38.526,43.155,48.479,54.526,61.198,68.5,76.611,85.58,95.31,105.827,116.954,128.903,141.606,155.221
GHA,56.202,79.52,104.961,130.783,154.137,178.912,205.761,235.078,268.217,305.507,347.011,392.778,442.374,495.673,552.286,612.284,675.545,742.645
GIN,13.649,24.859,36.424,48.143,58.726,69.852,81.689,94.309,107.488,121.022,135.298,150.417,166.192,182.544,199.504,217.204,235.756,255.59
GMB,4.156,5.437,7.007,8.796,10.588,12.539,14.644,16.894,19.299,21.846,24.559,27.465,30.539,33.773,37.183,40.789,44.639,48.746
GNB,2.031,2.527,3.176,3.969,4.825,5.809,6.944,8.216,9.618,11.125,12.749,14.472,16.289,18.17,20.097,22.094,24.137,26.285
GNQ,25.561,28.343,33.611,39.413,45.641,52.434,59.883,67.871,76.263,85.225,94.811,104.864,115.41,126.284,137.451,148.878,160.538,172.485
KEN,78.301,103.843,132.416,163.456,193.524,226.984,264.567,307.149,355.3,409.85,470.983,539.155,614.09,695.442,783.302,878.248,980.318,1090.687
LBR,2.986,4.576,6.871,9.528,12.366,15.584,19.316,23.602,28.471,33.977,40.075,46.721,53.868,61.448,69.3,77.39,85.669,94.164
LBY,127.767,158.428,193.177,232.066,273.312,310.811,338.724,356.949,371.304,384.962,398.94,411.699,422.953,433.694,444.531,456.601,469.719,482.07
LSO,3.979,4.851,5.779,6.771,7.675,8.717,9.879,11.169,12.57,14.081,15.718,17.512,19.465,21.568,23.801,26.199,28.805,31.644
MAR,171.057,223.725,286.571,358.178,435.84,517.749,598.836,677.109,750.737,820.704,888.105,951.176,1008.321,1060.26,1107.671,1152.896,1197.906,1242.114
MDG,20.482,26.448,34.654,44.685,55.578,68.609,84.378,103.14,124.938,149.984,178.603,211.2,247.763,288.203,332.357,380.481,432.975,490.481
MLI,16.926,22.668,30.11,38.826,48.148,58.688,70.63,83.999,98.717,114.59,131.575,149.435,168.137,187.375,207.143,227.44,248.36,270.234
MOZ,27.851,39.959,53.376,66.803,78.704,91.251,105.208,120.416,136.915,154.553,173.1,193.012,214.129,236.533,260.259,285.44,312.519,341.965
MRT,10.061,13.149,16.659,20.559,24.813,29.724,35.539,42.335,50.122,58.908,68.714,79.523,91.444,104.427,118.367,133.253,149.072,166.006
MUS,19.017,23.554,28.205,32.825,37.144,41.109,44.669,48.058,50.98,53.537,55.748,57.563,59.197,60.684,61.893,62.918,63.836,64.647
MWI,15.337,21.129,28.542,37.508,47.183,58.744,72.81,89.818,110.269,134.654,163.614,197.602,236.888,281.552,331.775,388.018,450.466,519.775
NAM,16.304,20.203,24.848,30.293,36.14,42.61,49.769,57.667,66.186,75.27,84.915,95.35,106.401,118.259,130.842,144.092,158.315,173.721
NER,14.511,19.584,26.002,33.774,42.45,53.044,66.115,82.125,101.608,125.084,153.106,186.181,224.38,267.828,316.589,370.619,430.312,495.633
NGA,470.333,649.365,859.062,1100.243,1351.464,1626.397,1930.241,2275.957,2679.344,3148.242,3685.957,4298.227,4998.46,5778.258,6637.617,7563.977,8555.11,9613.317
RWA,15.927,22.225,29.559,37.473,45.069,53.247,62.11,71.771,82.603,94.847,108.458,123.334,139.219,156.025,173.849,192.791,212.815,233.938
SDN,100.473,147.116,188.58,231.459,272.486,316.712,364.275,414.476,467.998,526.559,591.317,662.833,741.5,826.327,918.548,1019.44,1130.41,1251.053
SEN,26.72,35.374,45.253,55.841,66.074,77.511,90.347,104.688,120.802,138.802,159.016,181.528,206.268,233.213,262.508,294.497,329.508,368.084
SLE,7.25,9.333,11.951,14.922,17.861,21.072,24.603,28.467,32.681,37.224,42.024,47.082,52.362,57.888,63.604,69.526,75.714,82.23
SOM,0.346,0.442,0.576,0.721,0.838,0.966,1.109,1.271,1.448,1.638,1.844,2.067,2.309,2.57,2.851,3.152,3.479,3.837
STP,0.48,0.998,1.38,1.764,2.101,2.431,2.753,3.074,3.392,3.696,4.006,4.333,4.683,5.056,5.45,5.868,6.318,6.81
SWZ,5.502,5.728,6.227,6.881,7.565,8.341,9.195,10.067,10.975,11.971,13.053,14.267,15.621,17.092,18.692,20.444,22.375,24.492
TCD,18.401,22.013,27.671,35.079,43.603,53.958,66.154,80.285,96.392,114.394,134.335,156.162,179.786,204.872,231.34,259.045,287.828,318.272
TGO,6.912,9.087,11.567,14.051,16.263,18.68,21.355,24.266,27.395,30.727,34.282,38.06,42.051,46.218,50.528,55.004,59.729,64.75
TUN,101.886,133.608,172.302,217.621,266.518,316.512,364.01,404.704,440.279,472.968,503.524,528.558,546.609,560.103,569.803,577.652,585.072,591.382
TZA,77.319,107.876,146.251,190.579,237.019,289.508,349.439,418.349,496.254,583.728,681.061,788.699,905.054,1029.769,1163.046,1304.582,1455.411,1616.579
UGA,52.14,74.219,101.142,132.845,167.359,209.001,259.662,320.9,393.923,479.963,580.598,696.656,827.646,973.432,1133.345,1307.307,1496.796,1701.51
ZAF,568.604,699.956,839.311,984.82,1130.97,1276.607,1416.863,1549.012,1678.609,1808.649,1930.538,2039.652,2138.263,2225.912,2300.794,2363.906,2414.855,2452.424
ZMB,25.652,36.489,49.259,64.174,80.042,98.79,120.814,146.806,177.345,212.686,253.385,299.559,350.71,406.822,467.536,533.318,604.43,680.893
ZWE,6.36,7.23,8.506,10.204,12.202,14.842,18.198,22.315,27.264,33.089,40.076,48.405,58.161,69.364,82.134,96.61,112.98,131.424
