ISO,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050
Gen,0,0,0,0,0,0,0,0
ASH,6502,6954,6954,6954,6954,6954,6954,6954
BRA,2863,3373,3373,3373,3373,3373,3373,3373
CEN,3304,3688,3688,3688,3688,3688,3688,3688
EAS,2588,3285,3285,3285,3285,3285,3285,3285
ACC,0,0,0,0,0,0,0,0
NOR,0,0,0,0,0,0,0,0
UPE,0,0,0,0,0,0,0,0
UPW,0,0,0,0,0,0,0,0
VOL,567,1296,1296,1296,1296,1296,1296,1296
WES,11219,9790,9790,9790,9790,9790,9790,9790
