Scenario,Country,y2010,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
SSP1,LBY,6355112,6852455.818,7349799.635,7666128.295,7982456.954,8234564.868,8486672.782,8655818.932,8824965.083,8847692.947,8870420.811,8782533.973,8694647.134,8532986.833,8371326.532,8124140.023,7876953.514,7555638.563,7234323.611
SSP1,LSO,2171317.966,2256680.917,2342043.868,2404280.919,2466517.97,2497296.195,2528074.419,2535018.8,2541963.18,2523373.528,2504783.876,2461671.058,2418558.241,2356244.598,2293930.955,2216668.149,2139405.343,2052395.214,1965385.084
SSP1,MAR,31951412,33022484.4,34093556.8,34520380.89,34947204.98,34890607.34,34834009.71,34366749.15,33899488.6,33058201.1,32216913.6,31184302.09,30151690.59,29012968.64,27874246.69,26675934.48,25477622.27,24259628.73,23041635.19
SSP1,MDG,20713819,23317487.45,25921155.91,28282308.95,30643461.99,32603173.41,34562884.83,35947974.39,37333063.95,38213024.52,39092985.1,39506405.68,39919826.25,39847730.43,39775634.61,39218011.16,38660387.72,37664701.21,36669014.7
SSP1,MLI,15369809,17494149.9,19618490.8,21679542.31,23740593.81,25606701.28,27472808.74,28912791.48,30352774.23,31348386.07,32343997.91,32981693.37,33619388.83,33898676.49,34177964.15,34115036.39,34052108.64,33669319.09,33286529.55
SSP1,MOZ,23390765,25623846.35,27856927.7,29913046.29,31969164.89,33637430.3,35305695.72,36455933.35,37606170.98,38343364.36,39080557.74,39420156.22,39759754.69,39658167.4,39556580.11,39021429.75,38486279.38,37554753.63,36623227.88
SSP1,MRT,3459773,3817668.874,4175564.747,4458087.062,4740609.377,4958989.193,5177369.01,5303878.01,5430387.01,5484341.898,5538296.786,5544425.718,5550554.65,5502057.296,5453559.942,5356741.295,5259922.648,5127267.305,4994611.962
SSP1,MUS,1299172,1328282.387,1357392.774,1375856.784,1394320.794,1399006.154,1403691.513,1393546.938,1383402.364,1360512.966,1337623.567,1303923.624,1270223.68,1228457.747,1186691.814,1137511.707,1088331.599,1029840.216,971348.8333
SSP1,MWI,14900841,17175221.09,19449601.18,21869037.71,24288474.24,26740721.27,29192968.31,31387787.15,33582605.99,35382113.29,37181620.59,38564740.35,39947860.1,40858694.42,41769528.73,42222317.1,42675105.48,42683616.35,42692127.22
SSP1,NAM,2283289,2449067.214,2614845.428,2746750.814,2878656.199,2973888.723,3069121.247,3123149.176,3177177.105,3195060.636,3212944.166,3196979.425,3181014.683,3128571.997,3076129.312,2991130.736,2906132.16,2798907.822,2691683.484
