Scenario,Country,y2010,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
SSP5,AGO,19081912,21858364.17,24634816.35,27324381.95,30013947.56,32399237.91,34784528.27,36715350.95,38646173.63,40060034.5,41473895.38,42359376.07,43244856.77,43573690.78,43902524.79,43695044.52,43487564.24,42796306.4,42105048.56
SSP5,BDI,8382244.466,9642462.587,10902680.71,12058039.51,13213398.3,14199284.47,15185170.63,16003776.46,16822382.29,17366388.78,17910395.26,18148195.8,18385996.33,18333837.57,18281678.81,17985637.84,17689596.88,17213978.48,16738360.08
SSP5,BEN,8849892,10065966.81,11282041.63,12452508.18,13622974.72,14674688.87,15726403.02,16569454.1,17412505.17,18016839.85,18621174.52,18993518.23,19365861.94,19488875.35,19611888.76,19492590.7,19373292.65,19041571.72,18709850.79
SSP5,BFA,16468714,18616455.19,20764196.37,22787554.7,24810913.03,26647623.62,28484334.2,29888712.15,31293090.1,32200753.55,33108417.01,33662860.09,34217303.18,34472040.7,34726778.22,34725141.12,34723504.02,34494815.53,34266127.05
SSP5,BWA,2006945,2119803.842,2232662.684,2326369.433,2420076.181,2496587.056,2573097.932,2635672.261,2698246.591,2733560.856,2768875.122,2762393.495,2755911.868,2711597.341,2667282.814,2591943.656,2516604.499,2418856.773,2321109.047
SSP5,CAF,4401051,4770437.329,5139823.659,5475907.188,5811990.717,6074060.036,6336129.355,6500549.746,6664970.137,6741953.576,6818937.016,6815975.672,6813014.328,6732973.4,6652932.472,6509816.927,6366701.381,6177288.416,5987875.451
SSP5,CIV,19737800,21008715.98,22279631.97,23067194.82,23854757.67,24279043.88,24703330.09,24731883.09,24760436.08,24490688.25,24220940.43,23844389.58,23467838.73,23002330.78,22536822.83,21990927.04,21445031.26,20841003.81,20236976.36
SSP5,CMR,19598889,21367279.17,23135669.34,24630932.62,26126195.91,27330928.78,28535661.66,29337149.22,30138636.78,30563832.84,30989028.89,31079405.58,31169782.27,30920013.83,30670245.38,30119937.61,29569629.84,28773270.75,27976911.67
SSP5,COD,65965795,74909353.67,83852912.34,92715742.33,101578572.3,109409992.3,117241412.3,123419422.6,129597432.9,134021556.2,138445679.5,141246963.3,144048247,145201429,146354611,145986405.2,145618199.3,143888556.4,142158913.5
SSP5,COG,4042899,4523085.673,5003272.346,5459872.312,5916472.278,6317755.299,6719038.32,7026560.295,7334082.271,7541409.244,7748736.216,7847245.824,7945755.432,7930975.525,7916195.618,7799676.212,7683156.806,7480460.891,7277764.977
SSP5,COM,734750,795336.6926,855923.3852,891339.3384,926755.2917,948808.5946,970861.8975,970267.5742,969673.2508,954283.281,938893.3112,919138.5214,899383.7316,874825.0787,850266.4259,821156.9665,792047.5071,760955.5576,729863.6081
SSP5,CPV,495999,503816.9879,511634.9757,503274.6706,494914.3655,479582.372,464250.3785,442148.899,420047.4195,394024.1978,368000.976,344810.5166,321620.0572,302123.0889,282626.1205,265872.8331,249119.5458,234232.2667,219344.9876
SSP5,DJI,888716,960635.3935,1032554.787,1089217.109,1145879.432,1186940.09,1228000.748,1253478.305,1278955.863,1287102.437,1295249.012,1288599.031,1281949.051,1261906.92,1241864.789,1211267.434,1180670.08,1142920.5,1105170.921
SSP5,DZA,35468208,37666447.12,39864686.25,41251017.96,42637349.67,43465778.6,44294207.53,44591500.57,44888793.62,44497714.48,44106635.34,43191408.21,42276181.07,41005709.54,39735238,38260383.51,36785529.02,35182575.11,33579621.2
SSP5,EGY,81121077,87136686.65,93152296.31,97431126.96,101709957.6,104738444.2,107766930.8,109363808.5,110960686.3,111209044.4,111457402.5,110633265.2,109809127.9,107877644.4,105946160.9,103151117.2,100356073.6,96969568.27,93583062.94
SSP5,ERI,5253676,6010684.843,6767693.685,7452179.377,8136665.069,8774232.615,9411800.161,9916303.081,10420806,10754264.38,11087722.76,11264357.2,11440991.65,11454058.04,11467124.43,11338195.37,11209266.3,10959081.42,10708896.54
SSP5,ETH,82949539.74,91770184.45,100590829.2,108447899,116304968.9,122359716.7,128414464.5,132783318.7,137152172.8,139792380.6,142432588.3,143451152.4,144469716.6,143934524.6,143399332.6,141381804.5,139364276.5,136131435.2,132898593.9
SSP5,GAB,1505463,1621501.256,1737539.512,1831275.239,1925010.966,1991895.707,2058780.448,2099809.603,2140838.759,2157378.607,2173918.455,2166363.614,2158808.774,2127033.03,2095257.286,2042143.085,1989028.884,1920545.279,1852061.674
SSP5,GHA,24391823,26827279.85,29262736.69,31313776.51,33364816.32,35109789.12,36854761.92,38052756.07,39250750.21,39896431.65,40542113.09,40793524.8,41044936.5,40892153.09,40739369.68,40210775.82,39682181.96,38842602.79,38003023.62
SSP5,GIN,9981590,10620783.8,11259977.6,11574258.3,11888539,11944079.48,11999619.96,11783865.09,11568110.22,11170272.66,10772435.1,10392734.89,10013034.68,9693923.267,9374811.857,9104768.015,8834724.172,8609482.843,8384241.514
SSP5,GMB,1728394,1919187.244,2109980.488,2252765.818,2395551.148,2499466.428,2603381.709,2656463.862,2709546.015,2717660.594,2725775.173,2712371.942,2698968.711,2669070.281,2639171.85,2595637.097,2552102.343,2497871.23,2443640.116
SSP5,GNB,1515224,1636645.871,1758067.742,1853495.832,1948923.922,2020751.823,2092579.723,2134058.01,2175536.297,2187487.774,2199439.252,2192653.98,2185868.708,2161445.01,2137021.312,2096512.095,2056002.879,2003604.035,1951205.192
