ISO,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
DJI,2.364,3.171,4.481,6.547,9.517,13.39,18.172,23.818,30.216,37.309,45.021,53.113,61.378,69.813,78.236,86.679,95.122,103.343
DZA,310.547,375.745,469.749,587.826,721.954,865.592,1033.2,1226.77,1444.551,1688.647,1958.774,2231.889,2498.704,2760.51,3017.645,3276.939,3538.845,3788.851
EGY,528.682,708.613,970.592,1356.454,1882.745,2518.741,3232.65,3994.165,4812.979,5688.976,6597.564,7496.576,8373.067,9235.049,10086.36,10933.787,11769.509,12558.683
ERI,3.193,3.611,4.852,7.228,11.513,18.529,29.474,45.847,69.179,101.021,142.305,192.885,252.017,319.854,396.057,480.157,570.559,664.4
ETH,106.89,148.521,216.559,336.684,537.948,844.789,1285.909,1885.189,2658.951,3613.039,4749.133,6062.988,7541.541,9159.151,10884.722,12695.044,14581.433,16515.528
GAB,23.969,27.886,34.225,42.921,54.034,67.224,82.329,98.863,116.498,134.905,153.876,172.921,191.541,210.025,227.835,244.842,261.018,276.068
GHA,55.127,77.674,113.512,171.59,261.494,384.581,543.554,739.008,974.364,1251.813,1569.223,1917.297,2285.783,2677.983,3091.405,3520.21,3958.575,4394.397
GIN,13.271,25.976,48.645,86.861,142.676,212.346,292.951,381.682,476.177,572.823,672.328,772.314,871.661,975.16,1083.25,1196.671,1316.247,1440.835
GMB,4.066,5.254,7.301,10.765,16.115,23.539,33.279,45.504,60.321,77.606,97.25,118.895,142.098,167.041,193.598,221.516,250.561,280.14
GNB,1.989,2.487,3.552,5.602,9.175,14.609,22.366,32.796,46.183,62.629,82.112,104.326,128.834,155.591,184.281,214.511,245.906,277.759
GNQ,25.171,28.174,35.194,43.805,54.315,66.478,80.191,95.113,110.908,127.567,144.617,161.582,177.75,193.212,207.827,221.448,234.079,245.411
KEN,76.674,101.936,143.652,214.093,325.061,482.721,695.283,969.428,1311.961,1727.879,2216.674,2767.826,3370.057,4026.736,4732.267,5477.857,6253.103,7039.547
LBR,2.962,4.793,8.606,15.666,28.343,48.823,79.992,124.548,184.792,262.714,358.52,470.797,596.874,735.161,882.605,1036.361,1193.902,1350.673
LBY,127.737,159.04,197.588,247.6,308.906,372.571,431.216,483.439,534.572,589.221,648.524,708.647,767.771,826.892,886.498,948.661,1012.913,1073.912
LSO,3.941,4.883,6.549,9.452,14.063,20.715,29.808,41.595,56.186,73.549,93.507,115.685,139.525,164.765,190.591,216.681,242.804,268.351
MAR,169.805,222.697,303.924,420.348,574.517,753.325,945.072,1138.215,1329.168,1515.787,1701.199,1878.284,2041.416,2196.147,2344.343,2490.484,2639.039,2782.02
MDG,20.058,25.615,37.27,59.274,97.464,156.542,243.131,364.145,524.972,729.153,977.501,1269.283,1599.624,1968.572,2369.134,2793.623,3235.265,3683.798
MLI,16.455,22.271,33.22,52.658,85.457,135.535,207.746,307.055,437.71,602.282,801.507,1032.695,1293.165,1582.952,1899.594,2239.146,2597.725,2968.421
MOZ,27.346,39.459,59.553,94.218,151.51,238.128,364.126,539.76,773.784,1072.852,1438.949,1869.856,2361.743,2913.982,3516.953,4158.306,4826.342,5506.239
MRT,9.94,13.134,17.682,24.546,34.349,47.142,63.46,83.607,107.6,135.411,166.604,200.297,235.756,273.03,311.604,351.145,391.034,430.264
MUS,19.026,23.85,30.389,38.741,48.647,59.307,70.434,81.891,93.135,104.132,114.768,124.738,134.291,143.558,152.244,160.299,167.734,174.4
MWI,15.056,20.867,31.606,51.484,86.452,142.146,226.484,348.843,518.56,744.51,1033.937,1391.523,1816.919,2311.551,2872.056,3492.931,4166.344,4878.872
NAM,16.164,20.071,26.011,34.548,45.523,58.397,72.928,88.756,105.525,122.931,140.63,158.202,175.424,192.58,209.199,225.215,240.537,254.875
NER,14.136,18.946,27.921,44.547,74.09,122.282,197.237,309.343,470.034,690.774,982.512,1353.716,1809.556,2355.449,2991.708,3714.714,4518.644,5390.238
NGA,462.39,638.004,924.894,1400.569,2142.163,3191.685,4616.391,6494.052,8914.03,11957.237,15670.135,20057.026,25104.875,30814.579,37134.801,43995.131,51320.653,58959.416
RWA,15.588,21.839,32.892,51.569,81.215,123.303,179.864,252.803,344.69,458.483,594.234,750.624,923.321,1113.143,1319.649,1541.862,1776.964,2017.61
SDN,97.59,141.372,198.338,293.127,442.913,655.886,945.613,1324.997,1808.684,2405.968,3114.637,3923.937,4835.182,5824.036,6890.068,8018.97,9186.408,10368.344
SEN,25.902,33.764,47.296,69.433,103.868,152.107,216.178,297.812,398.463,518.122,656.235,809.587,975.527,1156.354,1351.616,1559.494,1777.97,2003.332
SLE,7.151,9.293,13.401,20.917,33.596,52.758,80.109,117.173,165.315,225.485,297.106,378.75,468.73,567.385,672.996,783.683,897.746,1012.33
SOM,0.381,0.541,0.901,1.68,3.221,5.828,9.873,15.736,23.666,33.709,45.895,59.922,75.504,92.927,112.271,133.38,155.994,179.603
STP,0.47,0.976,1.508,2.279,3.23,4.229,5.199,6.1,6.92,7.612,8.224,8.749,9.227,9.765,10.36,11.021,11.753,12.555
SWZ,5.444,5.949,7.339,9.68,13.234,18.035,24.161,31.56,40.109,49.757,60.444,71.888,83.805,96.071,108.379,120.757,133.127,145.21
TCD,18.068,22.079,31.131,47.557,74.818,116.232,175.257,255.915,361.645,494.977,657.561,849.398,1069.427,1317.038,1589.571,1883.946,2197.735,2526.136
TGO,6.841,9.095,13.019,19.823,31.083,48.205,73.112,107.772,153.933,212.957,285.526,371.579,470.303,581.344,702.611,832.637,970.043,1112.126
TUN,101.879,135.25,183.283,247.388,324.915,407.438,489.333,563.753,632.336,698.69,765.072,826.208,879.025,926.374,968.632,1008.51,1047.041,1082.422
TZA,75.443,104.107,156.823,247.41,392.945,602.001,886.775,1259.912,1730.425,2302.151,2975,3741.605,4585.384,5511.971,6512.117,7571.784,8679.64,9814.528
UGA,50.588,71.258,108.191,173.289,281.427,445.117,681.654,1009.9,1448.813,2013.249,2713.988,3554.614,4532.735,5653.406,6910.303,8287.164,9766.17,11319.602
ZAF,571.674,716.45,908.189,1156.482,1464.303,1813.241,2189.183,2577.407,2975.671,3384.543,3784.626,4157.848,4503.354,4821.733,5110.476,5373.586,5610.901,5817.395
ZMB,24.784,34.713,52.31,83.02,132.375,203.499,300.715,428.694,592.215,794.366,1036.57,1317.476,1633.193,1982.978,2363.856,2770.066,3195.542,3631.489
ZWE,6.255,7.132,9.417,13.813,21.236,32.084,46.808,65.637,88.577,115.14,145.688,179.79,216.942,258.554,303.802,353.069,407.015,465.378
