ISO,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060,y2065,y2070,y2075,y2080,y2085,y2090,y2095,y2100
AGO,127.389,173.632,214.748,264.116,323.521,401.276,510.353,663.75,869.382,1133.13,1456.094,1833.656,2260.13,2727.862,3227.709,3752.107,4292.043,4834.886
BDI,5.756,8.176,12.765,21.728,38.13,64.933,105.418,162.479,239.004,338.241,461.639,608.61,775.194,956.623,1149.958,1353.348,1565.263,1778.815
BEN,15.035,19.494,27.67,41.991,65.912,102.626,156.169,230.639,329.592,455.759,609.907,790.918,995.493,1222.188,1467.55,1727.815,1999.015,2274.286
BFA,24.884,34.129,50.138,77.421,121.423,186.044,276.461,398.143,555.393,750.684,985.681,1259.642,1569.567,1916.413,2297.68,2709.451,3148.038,3605.86
BWA,30.932,39.037,48.737,60.995,75.527,91.768,109.243,127.623,146.68,166.381,186.011,204.762,221.829,237.165,250.738,262.904,273.711,282.655
CAF,3.811,5.007,7.123,10.971,17.604,27.84,42.767,63.406,90.602,124.943,166.524,215.108,270.05,331.056,396.997,466.675,539.204,613.022
CIV,40.87,59.013,96.092,159.201,253.582,377.198,528.871,704.742,903.389,1121.086,1355.142,1598.721,1848.201,2108.353,2376.56,2649.47,2925.332,3199.515
CMR,50.063,65.158,90.797,133.481,199.368,290.844,411.21,562.779,747.921,967.329,1218.905,1495.461,1789.597,2102.1,2428.152,2762.304,3099.759,3432.103
COD,29.352,44.445,80.661,154.943,294.027,522.261,869.162,1359.728,2016.433,2858.43,3894.019,5119.507,6522.419,8086.726,9788.56,11600.167,13499.831,15451.991
COG,22.503,30.415,43.244,62.333,89.334,124.366,167.8,219.783,280.253,348.71,423.274,501.644,581.676,663.67,746.091,827.433,906.445,981.151
COM,0.82,1.012,1.445,2.244,3.568,5.477,8.057,11.379,15.536,20.499,26.147,32.247,38.644,45.533,52.959,60.762,68.727,76.62
CPV,2.109,2.62,3.354,4.388,5.72,7.215,8.78,10.311,11.745,13.044,14.298,15.481,16.607,17.767,18.943,20.16,21.459,22.847
